world_rank,university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
93,University of Exeter,39.4,87.3,40.0,94.3,31.9,59.5,17755,18.8,28,117.3913043478261
94,University of Bonn,45.1,63.6,47.5,85.3,48.9,58.8,32474,70.4,13,122.22222222222223
94,Georgetown University,54.4,52.7,39.3,82.5,80.7,58.8,15408,8.5,14,112.7659574468085
94,McMaster University,39.8,76.1,44.8,84.9,88.0,58.8,23823,19.3,15,112.7659574468085
97,University of Sheffield,42.4,81.9,48.8,80.1,43.4,58.6,23311,15.5,31,100.0
98,Queen Mary University of London,34.1,93.5,41.3,93.3,36.8,58.5,14260,14.0,40,108.33333333333333
99,University of Göttingen,49.3,56.4,54.5,72.7,31.8,58.0,25581,25.6,12,104.08163265306123
99,Michigan State University,47.3,56.4,52.6,76.8,32.2,58.0,44750,15.7,15,104.08163265306123
101,University of Basel,39.5,94.7,33.1,88.3,99.9,57.9,12551,17.3,24,117.3913043478261
101,École Polytechnique,53.5,92.8,44.6,64.7,82.3,57.9,2429,4.8,30,21.951219512195124
101,Rice University,37.9,66.6,35.1,99.7,41.7,57.9,6333,9.0,26,78.57142857142857
104,Dartmouth College,50.7,38.3,35.8,93.3,40.8,57.8,6178,6.6,16,88.67924528301887
104,University of Zurich,49.5,90.4,31.5,85.4,44.0,57.8,26583,6.5,19,132.5581395348837
106,Aarhus University,36.9,76.8,50.7,79.8,68.3,57.7,23895,13.6,14,117.3913043478261
106,"University of California, Irvine",39.9,59.2,41.8,91.6,48.9,57.7,26614,16.1,16,108.33333333333333
106,University of Mannheim,34.5,64.6,47.7,86.9,85.3,57.7,11761,85.8,15,122.22222222222223
108,University of Notre Dame,47.6,47.6,48.1,81.7,33.7,57.6,11829,13.8,10,78.57142857142857
109,University of Western Australia,33.4,92.6,46.1,83.6,64.5,57.5,20851,20.7,27,100.0
110,RWTH Aachen University,49.4,54.1,56.3,63.2,98.1,57.2,37917,27.6,16,44.927536231884055
110,University of Southampton,39.8,88.4,43.6,82.0,37.5,57.2,20925,13.5,29,112.7659574468085
112,Scuola Normale Superiore di Pisa,54.2,46.3,53.1,67.2,52.0,57.1,462,16.5,5,38.88888888888889
113,University of Montreal,46.3,84.2,45.5,69.6,92.6,57.0,38264,20.3,25,132.5581395348837
113,Pierre and Marie Curie University,52.8,74.1,32.7,82.9,37.4,57.0,27862,8.7,18,92.3076923076923
113,Purdue University,50.2,66.4,57.7,63.2,48.9,57.0,39256,18.1,22,72.41379310344827
116,Pohang University of Science and Technology,49.1,33.7,47.1,76.7,100.0,56.9,3055,10.1,4,25.0
117,"University of Maryland, College Park",45.0,43.5,42.1,88.2,32.3,56.7,31331,8.4,9,92.3076923076923
118,Ghent University,42.1,54.2,54.5,71.2,88.3,56.6,32166,34.1,9,132.5581395348837
119,University of Birmingham,39.4,82.0,41.8,82.7,34.7,56.2,25295,16.4,23,117.3913043478261
120,University of Bern,40.0,83.7,42.5,76.6,82.9,56.1,14708,22.5,14,117.3913043478261
120,University of Cape Town,34.9,80.2,38.7,85.6,92.7,56.1,20040,12.1,18,112.7659574468085
120,University of Florida,51.8,33.3,56.8,67.7,48.9,56.1,50095,18.7,9,117.3913043478261
123,University of Erlangen-Nuremberg,51.7,47.0,39.7,75.2,99.4,56.0,36146,53.9,9,96.07843137254902
123,"Rutgers, the State University of New Jersey",43.9,34.7,55.7,75.4,35.9,56.0,37032,17.3,8,104.08163265306123
125,University of Münster,40.3,46.3,44.1,85.6,58.2,55.9,39838,46.1,8,112.7659574468085
125,Radboud University Nijmegen,34.3,60.9,48.5,84.9,39.2,55.9,17713,13.0,10,138.0952380952381
127,University of Colorado Boulder,39.7,36.6,37.6,96.4,35.7,55.8,29325,16.1,8,81.81818181818183
127,Tufts University,45.2,49.4,33.3,90.1,60.7,55.8,10410,10.0,14,117.3913043478261
129,"Royal Holloway, University of London",35.1,92.7,33.2,91.2,34.4,55.7,8747,15.9,37,132.5581395348837
130,Lancaster University,34.0,87.0,41.4,85.3,33.6,55.6,11512,14.9,33,108.33333333333333
131,University of Geneva,34.9,98.5,40.5,78.5,72.4,55.4,15668,15.0,39,156.4102564102564
131,University of York,41.9,83.5,46.3,73.1,31.1,55.4,23044.5,14.95,18.0,108.33333333333333
133,Case Western Reserve University,46.1,40.5,33.2,92.0,34.1,55.3,9259,6.4,17,92.3076923076923
133,University of Leeds,43.7,77.4,39.0,79.2,36.7,55.3,27703,14.7,21,138.0952380952381
135,University of Oslo,43.3,68.2,44.7,75.5,38.3,55.1,27139,18.8,18,108.33333333333333
136,Stockholm University,34.1,48.5,51.2,82.5,31.1,54.8,31715,23.7,8,163.1578947368421
137,University of Alberta,46.4,80.7,48.1,63.6,47.4,54.7,36299,21.6,23,122.22222222222223
138,Chinese University of Hong Kong,41.5,81.1,48.5,68.4,37.5,54.5,17916,10.2,22,112.7659574468085
138,Karlsruhe Institute of Technology,37.7,56.7,47.5,73.8,99.5,54.5,25294,24.6,16,35.13513513513514
140,University of Sussex,33.4,88.3,37.2,86.1,30.6,54.4,12001,17.4,35,117.3913043478261
141,University of Massachusetts,40.2,48.9,36.3,88.1,52.2,54.3,56959,13.0,11,96.07843137254902
142,University of Vienna,40.8,92.6,50.5,63.6,30.2,54.2,34651,20.5,25,203.03030303030303
143,University of Nottingham,40.3,80.6,39.0,77.5,39.8,54.1,30144,15.0,27,117.3913043478261
144,"University of California, Santa Cruz",31.1,45.6,34.2,99.9,36.1,53.9,17404,22.7,1,112.7659574468085
144,University of Lausanne,30.9,89.2,45.6,76.2,56.0,53.9,11964,13.1,22,108.33333333333333
146,Autonomous University of Barcelona,40.3,50.3,40.0,83.8,34.9,53.8,30538,12.3,10,143.90243902439025
147,University of Virginia,38.8,43.4,37.5,87.3,37.9,53.3,23845,10.2,12,108.33333333333333
148,Korea Advanced Institute of Science and Technology (KAIST),43.3,33.9,40.5,75.9,100.0,53.0,9027,10.0,9,25.0
149,University of Adelaide,32.8,85.1,43.2,72.4,79.3,52.9,20771,30.1,26,92.3076923076923
149,University of East Anglia,31.9,83.5,28.7,92.7,28.5,52.9,14992,14.7,28,138.0952380952381
149,University of Twente,34.1,80.1,45.6,68.8,91.2,52.9,6631,12.0,26,58.730158730158735
153,Sungkyunkwan University (SKKU),51.4,36.7,53.5,53.8,97.5,52.8,24365,20.3,9,63.934426229508205
154,VU University Amsterdam,28.4,54.9,37.1,90.7,60.1,52.5,23280,16.3,6,127.27272727272727
155,KTH Royal Institute of Technology,39.0,84.4,44.3,63.9,78.1,52.4,12062,14.6,21,42.857142857142854
156,University of Cologne,42.2,53.1,38.0,75.0,68.5,52.3,43280,43.4,11,150.0
157,University of Liverpool,32.8,85.4,30.9,85.9,36.6,52.2,18815,13.6,30,108.33333333333333
158,TU Dresden,41.4,47.7,45.8,66.1,99.7,52.1,35487,37.4,12,72.41379310344827
158,University of Rochester,39.7,55.8,27.9,89.0,37.0,52.1,9390,4.5,26,96.07843137254902
160,Trinity College Dublin,41.9,90.5,30.8,75.8,28.0,52.0,15521,18.0,25,132.5581395348837
161,Lomonosov Moscow State University,75.4,57.8,66.7,8.6,95.7,51.9,30822,7.7,20,75.43859649122807
161,University of Miami,41.7,64.0,22.3,90.1,35.5,51.9,15286,5.7,14,100.0
163,University of Arizona,38.7,38.6,41.8,79.5,32.4,51.7,36429,12.7,8,108.33333333333333
164,Pompeu Fabra University,32.9,63.3,28.0,90.7,37.2,51.2,10901,18.3,13,143.90243902439025
164,University of Reading,39.3,85.1,37.3,69.9,34.2,51.2,12050,14.8,28,122.22222222222223
164,Yeshiva University,44.8,28.5,23.7,92.8,48.9,51.2,6753,5.5,7,112.7659574468085
167,"University of California, Riverside",27.5,59.5,33.3,91.2,42.5,51.1,20626,22.0,12,104.08163265306123
167,University of Leicester,32.1,86.6,27.8,86.0,31.7,51.1,14541,13.4,35,117.3913043478261
167,National Taiwan University,54.1,27.7,58.0,47.3,49.6,51.1,31891,11.9,7,63.934426229508205
167,Technical University of Denmark,37.3,85.1,29.9,77.8,50.0,51.1,9990,5.0,18,36.986301369863014
167,Université Catholique de Louvain,38.7,74.2,40.6,68.4,51.0,51.1,28856,42.0,19,117.3913043478261
